cod_ine,municipio,provincia,pob,pob_previa,var
01051,Agurain/Salvatierra,Araba/Álava,5022,5022,5
01001,Alegría-Dulantzi,Araba/Álava,2924,2924,2.9
01002,Amurrio,Araba/Álava,10295,10295,10.3
01049,Añana,Araba/Álava,154,154,0.2
01003,Aramaio,Araba/Álava,1456,1456,1.5
01006,Armiñón,Araba/Álava,231,231,0.2
01037,Arraia-Maeztu,Araba/Álava,799,799,0.8
01008,Arratzua-Ubarrundia,Araba/Álava,1013,1013,1
01004,Artziniega,Araba/Álava,1806,1806,1.8
01009,Asparrena,Araba/Álava,1633,1633,1.6
01010,Ayala/Aiara,Araba/Álava,2950,2950,3
01011,Baños de Ebro/Mañueta,Araba/Álava,286,286,0.3
01013,Barrundia,Araba/Álava,891,891,0.9
01014,Berantevilla,Araba/Álava,462,462,0.5
01016,Bernedo,Araba/Álava,539,539,0.5
01017,Campezo/Kanpezu,Araba/Álava,1080,1080,1.1
01021,Elburgo/Burgelu,Araba/Álava,633,633,0.6
01022,Elciego,Araba/Álava,997,997,1
01023,Elvillar/Bilar,Araba/Álava,325,325,0.3
01047,Erriberabeitia,Araba/Álava,1413,1413,1.4
01046,Erriberagoitia/Ribera Alta,Araba/Álava,829,829,0.8
01056,Harana/Valle de Arana,Araba/Álava,226,226,0.2
01901,Iruña Oka/Iruña de Oca,Araba/Álava,3471,3471,3.5
01027,Iruraiz-Gauna,Araba/Álava,530,530,0.5
01019,Kripan,Araba/Álava,175,175,0.2
01020,Kuartango,Araba/Álava,395,395,0.4
01028,Labastida/Bastida,Araba/Álava,1529,1529,1.5
01030,Lagrán,Araba/Álava,170,170,0.2
01031,Laguardia,Araba/Álava,1469,1469,1.5
01032,Lanciego/Lantziego,Araba/Álava,693,693,0.7
01902,Lantarón,Araba/Álava,908,908,0.9
01033,Lapuebla de Labarca,Araba/Álava,863,863,0.9
01036,Laudio/Llodio,Araba/Álava,18005,18005,18
01058,Legutio,Araba/Álava,1993,1993,2
01034,Leza,Araba/Álava,219,219,0.2
01039,Moreda de Álava/Moreda Araba,Araba/Álava,212,212,0.2
01041,Navaridas,Araba/Álava,196,196,0.2
01042,Okondo,Araba/Álava,1195,1195,1.2
01043,Oyón-Oion,Araba/Álava,3455,3455,3.5
01044,Peñacerrada-Urizaharra,Araba/Álava,300,300,0.3
01052,Samaniego,Araba/Álava,308,308,0.3
01053,San Millán/Donemiliaga,Araba/Álava,720,720,0.7
01054,Urkabustaiz,Araba/Álava,1417,1417,1.4
01055,Valdegovía/Gaubea,Araba/Álava,1047,1047,1
01057,Villabuena de Álava/Eskuernaga,Araba/Álava,287,287,0.3
